,title,price,condition,num_reviews,pos_feedback_pct,return_days,model,capacity,release_year
966,apple iphone 13 pro max - 128gb - gold (unlocked) for parts*******,824.99,0.0,495.0,100.0,0.0,17,128.0,2021
967,apple iphone 11 - 256gb (factory unlocked) green ✅ 1 year warranty ✅❖sealed❖(w),549.95,6.0,25277.0,100.0,2.0,15,256.0,2019
968,apple iphone 12 pro - 128/256/512gb - unlocked verizon - excellent condition,710.99,4.0,54735.0,99.4,3.0,16,138.7663551401869,2020
969,apple iphone xs 256gb factory unlocked at&t t-mobile verizon -good,259.99,3.0,13103.0,96.3,2.0,14,256.0,2018
970,apple iphone 7 plus 32gb gsm factory unlocked 4g lte wifi smartphone - grade b,142.99,1.0,119431.0,99.3,2.0,10,32.0,2016
971,apple iphone 12 mini 64gb t-mobile locked mg703ll/a black a2176,350.0,1.0,17812.0,100.0,2.0,16,64.0,2020
972,apple iphone 12 mini - 64gb - black (unlocked) - new inbox,479.99,6.0,121483.0,99.9,3.0,16,64.0,2020
973,apple iphone xr 64gb black verizon grade c mt302ll/a no sim card,339.98,1.0,7733.0,99.2,2.0,13,64.0,2018
974,apple iphone 8 plus - 64gb - silver (t-mobile) a1897 (gsm) (n),219.0,5.0,60972.0,100.0,2.0,11,64.0,2017
975,✅apple iphone se 1 gen 16/32/64/128gb - fully unlocked -very good condition,64.5,1.0,652.0,95.9,0.0,9,65.08936170212766,2016
976,apple iphone se (2nd gen.) 64gb black straight talk - new & sealed,189.95,6.0,277.0,100.0,2.0,9,64.0,2016
977,apple iphone 7 - 32gb 128gb 256gb - all colors - good condition,98.0,2.0,8382.0,99.5,3.0,10,32.0,2016
979,apple iphone x 64gb bad lcd ic locked for parts,57.0,0.0,250.0,100.0,2.0,12,64.0,2017
981,apple iphone 6s 64gb factory unlocked at&t t-mobile verizon good condition,89.95,2.0,82193.0,98.4,3.0,8,64.0,2015
983,apple iphone 12 mini 64/128/256gb  unlocked ,429.0,5.0,6013.0,97.8,2.0,16,138.7663551401869,2020
